dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared,optimization_used,kernel_type
synthetic_normal,normal,10000,10000,0.3,0.3,1,0.0017406940460205078,0.021832942962646484,0.0,0.0,0.0013505911976858566,0.002429858305035095,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.3,0.3,2,0.0017430782318115234,0.02178812026977539,0.0,0.0,0.0010416133383664191,0.0018789538423848251,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.3,0.3,3,0.001683950424194336,0.021915197372436523,0.0,0.0,0.0012525620928080655,0.0022918121800572684,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.3,0.3,4,0.0015571117401123047,0.022406816482543945,0.0,0.0,0.0011282162322927272,0.002059553349113091,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.5,0.5,0,0.0015749931335449219,0.02383589744567871,0.0,0.0,0.000645373524553505,0.0011604039411403043,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.5,0.5,1,0.0013871192932128906,0.02374100685119629,0.0,0.0,0.0007384315274448487,0.001329106514683862,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.5,0.5,2,0.0015249252319335938,0.023466825485229492,0.0,0.0,0.0006134901293863031,0.0011090381300096447,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.5,0.5,3,0.0012929439544677734,0.02358412742614746,0.0,0.0,0.0007583100869746468,0.0013707051183518158,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,0.5,0.5,4,0.001338958740234375,0.02420520782470703,0.0,0.0,0.0006700819537839558,0.0012437785242794023,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.1,3.924318979027335,0,0.0015370845794677734,0.02912425994873047,0.0,0.0,0.029087463425403894,0.049599499589747735,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.1,3.881446627447849,1,0.0014460086822509766,0.029328107833862305,0.0,0.078125,0.028448958529642167,0.0487171873345101,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.1,3.924318979027335,2,0.0013778209686279297,0.029829025268554688,0.0,0.0,0.02919571268592572,0.04994730640570168,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.1,3.924318979027335,3,0.0014147758483886719,0.02929830551147461,0.0,0.0,0.029401902990237098,0.050050835974114416,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.1,3.725727719594413,4,0.0016939640045166016,0.029600143432617188,0.0,0.0,0.025529642767148038,0.043700190734059605,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.3,11.772956937082004,0,0.0015587806701660156,0.02947998046875,0.0,0.0,0.226018757031501,0.3432143538329133,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.3,11.644339882343546,1,0.00167083740234375,0.030012845993041992,0.0,0.03125,0.22440068164251997,0.34120755993918706,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.3,11.772956937082004,2,0.0015549659729003906,0.028972625732421875,0.0,0.03125,0.22644687732722119,0.3441934661873703,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.3,11.772956937082004,3,0.001506805419921875,0.02908182144165039,0.0,0.0,0.22681067488094836,0.3442691672558598,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,10000,10000,r0.3,11.177183158783238,4,0.0015540122985839844,0.028925180435180664,0.0,-0.015625,0.21519634697234438,0.327641676711522,epanechnikov_optimized,epanechnikov
synthetic_normal,normal,100000,100000,0.1,0.1,0,0.013642072677612305,0.1920018196105957,0.0,0.953125,0.00036995492252019714,0.0006910193329818088,epanechnikov_optimized,epanechnikov
