,Case,Method,Sigma_Option,Sigma,Normalized,Empirical_Method,Similarity_Overlap,Distance_Euclidean,MSE_s1,KL_Divergence_s1,AIC_s1,BIC_s1,MSE_s2,KL_Divergence_s2,AIC_s2,BIC_s2
191,3,kde,r0.5,,True,counts,0.8610431468937717,1.747526123992302,0.2536785635538243,-38.709121360285415,6055.988102739928,6065.803613297892,0.2558102173722469,-4.790301113502987,5136.051031550987,5145.866542108952
192,4,nd,0.01,0.01,False,kde,0.06659789709023808,5.7209210510194355,0.03921792880794617,2.811052475053131,9434.517887192105,9444.33339775007,0.0329978075881483,2.8368680665506836,9974.66012430768,9984.475634865645
193,4,nd,0.01,0.01,False,counts,0.06659789709023808,5.7209210510194355,0.03460626808421018,12.854268161933888,9434.517887192105,9444.33339775007,0.0329978075881483,2.8368680665506836,9974.66012430768,9984.475634865645
194,4,nd,0.1,0.1,False,kde,0.16021030383605145,6.267493502524546,0.06607015663720472,-3.158818324896911,7113.168061165331,7122.983571723295,0.040602421755817075,-2.739754302629747,7098.827266161155,7108.64277671912
195,4,nd,0.1,0.1,False,counts,0.16021030383605145,6.267493502524546,0.057314379268404006,-15.615342364290642,7113.168061165331,7122.983571723295,0.040602421755817075,-2.739754302629747,7098.827266161155,7108.64277671912
196,4,nd,0.2,0.2,False,kde,0.1666486436264925,7.805767768054789,0.10668248809033057,-3.8933082264873824,7211.192183484536,7221.007694042501,0.0645693737533896,-3.5271836231583826,7183.586013019013,7193.4015235769775
197,4,nd,0.2,0.2,False,counts,0.1666486436264925,7.805767768054789,0.09537620113414519,-17.398326980026766,7211.192183484536,7221.007694042501,0.0645693737533896,-3.5271836231583826,7183.586013019013,7193.4015235769775
198,4,nd,0.5,0.5,False,kde,0.17159106583561237,9.50534091472252,0.1599076971269725,-4.386347726205373,7327.519347625121,7337.334858183085,0.10195315040307139,-4.155828635957692,7279.714314160739,7289.529824718704
199,4,nd,0.5,0.5,False,counts,0.17159106583561237,9.50534091472252,0.1463682818848602,-18.584502334834745,7327.519347625121,7337.334858183085,0.10195315040307139,-4.155828635957692,7279.714314160739,7289.529824718704
200,4,nd,r0.01,0.6765973935224117,False,kde,0.17287099714261636,10.101074543369462,0.18049724736437275,-4.527198555705464,7355.808514394827,7365.624024952792,0.11749969230080311,-4.3139979375222,7303.415506070523,7313.231016628488
201,4,nd,r0.01,0.6765973935224117,False,counts,0.17287099714261636,10.101074543369462,0.16623468180860956,-18.92498714843682,7355.808514394827,7365.624024952792,0.11749969230080311,-4.3139979375222,7303.415506070523,7313.231016628488
202,4,nd,r0.1,6.765973935224117,False,kde,0.30805880360829413,11.486117346162608,0.3044314924312487,-5.379168082249683,7569.859400239669,7579.674910797634,0.30614712531025406,-5.377828336560024,7540.3531591015035,7550.168669659468
203,4,nd,r0.1,6.765973935224117,False,counts,0.30805880360829413,11.486117346162608,0.2868457396962666,-20.958540360183047,7569.859400239669,7579.674910797634,0.30614712531025406,-5.377828336560024,7540.3531591015035,7550.168669659468
204,4,nd,r0.2,13.531947870448233,False,kde,0.5353588765093342,9.242007921911808,0.4641703405693563,-5.671012784894652,7979.274027220576,7989.08953777854,0.4682234873124164,-5.667647599431708,7972.206031919612,7982.021542477576
205,4,nd,r0.2,13.531947870448233,False,counts,0.5353588765093342,9.242007921911808,0.44462288274635237,-21.95330068707174,7979.274027220576,7989.08953777854,0.4682234873124164,-5.667647599431708,7972.206031919612,7982.021542477576
206,4,nd,r0.5,33.82986967612058,False,kde,0.7385008127254455,5.500303172925145,0.5763575709809333,-5.586901702070813,8573.00182478945,8582.817335347414,0.580018940830716,-5.582287878129863,8567.549062057817,8577.364572615781
207,4,nd,r0.5,33.82986967612058,False,counts,0.7385008127254455,5.500303172925145,0.5600148565542509,-20.89244950486178,8573.00182478945,8582.817335347414,0.580018940830716,-5.582287878129863,8567.549062057817,8577.364572615781
208,4,nd,0.01,0.01,True,kde,0.7315267651067716,2.9846586322797966,0.20548342821208956,-4.216330800471005,8521.93919827096,8531.754708828925,0.13318455800947257,-4.124838346562228,8357.601827234872,8367.417337792836
209,4,nd,0.01,0.01,True,counts,0.7315267651067716,2.9846586322797966,0.1943793050421656,-15.820485901907453,8521.93919827096,8531.754708828925,0.13318455800947257,-4.124838346562228,8357.601827234872,8367.417337792836
210,4,nd,0.1,0.1,True,kde,0.8702394796108609,1.6747524954700654,0.3390460168483368,-5.176770499360333,8183.747036897765,8193.56254745573,0.339959594899468,-5.207733983227522,8108.88128058435,8118.696791142314
211,4,nd,0.1,0.1,True,counts,0.8702394796108609,1.6747524954700654,0.32395127835701276,-19.50315220015685,8183.747036897765,8193.56254745573,0.339959594899468,-5.207733983227522,8108.88128058435,8118.696791142314
212,4,nd,0.2,0.2,True,kde,0.8875380993981581,1.6486606620776674,0.41711153539498136,-5.387925519991905,8161.363913870276,8171.17942442824,0.4169199447920778,-5.40359458973749,8105.0619019884025,8114.877412546367
213,4,nd,0.2,0.2,True,counts,0.8875380993981581,1.6486606620776674,0.4002648353928503,-20.5985917213125,8161.363913870276,8171.17942442824,0.4169199447920778,-5.40359458973749,8105.0619019884025,8114.877412546367
214,4,nd,0.5,0.5,True,kde,0.9535298061264189,0.9294705635436541,0.5350135122820497,-5.4588471764742375,8688.667016848593,8698.482527406557,0.545447981684597,-5.488491748531484,8659.697516572785,8669.51302713075
215,4,nd,0.5,0.5,True,counts,0.9535298061264189,0.9294705635436541,0.5199380052431349,-20.123837324154362,8688.667016848593,8698.482527406557,0.545447981684597,-5.488491748531484,8659.697516572785,8669.51302713075
216,4,nd,r0.01,0.01,True,kde,0.7315267651067716,2.9846586322797966,0.20548342821208956,-4.216330800471005,8521.93919827096,8531.754708828925,0.13318455800947257,-4.124838346562228,8357.601827234872,8367.417337792836
217,4,nd,r0.01,0.01,True,counts,0.7315267651067716,2.9846586322797966,0.1943793050421656,-15.820485901907453,8521.93919827096,8531.754708828925,0.13318455800947257,-4.124838346562228,8357.601827234872,8367.417337792836
218,4,nd,r0.1,0.1,True,kde,0.8702394796108609,1.6747524954700654,0.3390460168483368,-5.176770499360333,8183.747036897765,8193.56254745573,0.339959594899468,-5.207733983227522,8108.88128058435,8118.696791142314
219,4,nd,r0.1,0.1,True,counts,0.8702394796108609,1.6747524954700654,0.32395127835701276,-19.50315220015685,8183.747036897765,8193.56254745573,0.339959594899468,-5.207733983227522,8108.88128058435,8118.696791142314
220,4,nd,r0.2,0.2,True,kde,0.8875380993981581,1.6486606620776674,0.41711153539498136,-5.387925519991905,8161.363913870276,8171.17942442824,0.4169199447920778,-5.40359458973749,8105.0619019884025,8114.877412546367
221,4,nd,r0.2,0.2,True,counts,0.8875380993981581,1.6486606620776674,0.4002648353928503,-20.5985917213125,8161.363913870276,8171.17942442824,0.4169199447920778,-5.40359458973749,8105.0619019884025,8114.877412546367
222,4,nd,r0.5,0.5,True,kde,0.9535298061264189,0.9294705635436541,0.5350135122820497,-5.4588471764742375,8688.667016848593,8698.482527406557,0.545447981684597,-5.488491748531484,8659.697516572785,8669.51302713075
223,4,nd,r0.5,0.5,True,counts,0.9535298061264189,0.9294705635436541,0.5199380052431349,-20.123837324154362,8688.667016848593,8698.482527406557,0.545447981684597,-5.488491748531484,8659.697516572785,8669.51302713075
224,4,kde,0.01,,False,kde,0.3247198575502867,11.376280039893878,0.3166301641827215,-5.415853175736939,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
225,4,kde,0.01,,False,counts,0.3247198575502867,11.376280039893878,0.29881648685535245,-21.086595114860256,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
226,4,kde,0.1,,False,kde,0.3247198575502867,11.376280039893878,0.3166301641827215,-5.415853175736939,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
227,4,kde,0.1,,False,counts,0.3247198575502867,11.376280039893878,0.29881648685535245,-21.086595114860256,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
228,4,kde,0.2,,False,kde,0.3247198575502867,11.376280039893878,0.3166301641827215,-5.415853175736939,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
229,4,kde,0.2,,False,counts,0.3247198575502867,11.376280039893878,0.29881648685535245,-21.086595114860256,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
230,4,kde,0.5,,False,kde,0.3247198575502867,11.376280039893878,0.3166301641827215,-5.415853175736939,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
231,4,kde,0.5,,False,counts,0.3247198575502867,11.376280039893878,0.29881648685535245,-21.086595114860256,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
232,4,kde,r0.01,,False,kde,0.3247198575502867,11.376280039893878,0.3166301641827215,-5.415853175736939,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
233,4,kde,r0.01,,False,counts,0.3247198575502867,11.376280039893878,0.29881648685535245,-21.086595114860256,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
234,4,kde,r0.1,,False,kde,0.3247198575502867,11.376280039893878,0.3166301641827215,-5.415853175736939,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
235,4,kde,r0.1,,False,counts,0.3247198575502867,11.376280039893878,0.29881648685535245,-21.086595114860256,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
236,4,kde,r0.2,,False,kde,0.3247198575502867,11.376280039893878,0.3166301641827215,-5.415853175736939,7600.467133162796,7610.2826437207605,0.3170953625076562,-5.411283176986396,7570.035860957342,7579.851371515307
