dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared
synthetic_normal,normal,100000,100000,r0.3,13.41307916715879,0,10.640081882476807,0.2852158546447754,473.953125,-118.75,-2.0642448940484283e-08,5.635098057413462e-10
synthetic_normal,normal,100000,100000,r0.3,13.41703217183195,1,10.070106744766235,0.2917921543121338,89.234375,-118.90625,-2.083184946687873e-08,5.650283606772417e-10
synthetic_normal,normal,100000,100000,r0.3,13.41703217183195,2,10.067601919174194,0.30511903762817383,110.75,4.609375,-2.0847261735933666e-08,5.707245339617015e-10
synthetic_normal,normal,100000,100000,r0.3,13.41703217183195,3,11.821438789367676,0.28579211235046387,111.421875,4.25,-2.0687311547891716e-08,5.680744361700206e-10
synthetic_normal,normal,100000,100000,r0.3,13.001444644942316,4,11.729687690734863,0.2934856414794922,-36.90625,5.5,-2.2945939007190373e-08,8.142131465595229e-10
synthetic_bimodal,bimodal,100,100,0.1,0.1,0,0.003565073013305664,0.0004799365997314453,0.578125,0.046875,1.1705890339451523e-05,1.86595523593647e-05
synthetic_bimodal,bimodal,100,100,0.1,0.1,1,0.003312349319458008,0.0012850761413574219,0.015625,0.0,1.2057901657223246e-05,1.915653855452709e-05
synthetic_bimodal,bimodal,100,100,0.1,0.1,2,0.0031440258026123047,0.00036978721618652344,0.0,0.0,1.1998234929878268e-05,1.9211208446713886e-05
synthetic_bimodal,bimodal,100,100,0.1,0.1,3,0.00321197509765625,0.00032901763916015625,0.015625,0.0,1.141897955633554e-05,1.8609961730517256e-05
synthetic_bimodal,bimodal,100,100,0.1,0.1,4,0.0032758712768554688,0.0004100799560546875,0.0,0.0,9.228792532409664e-06,1.582749558957855e-05
synthetic_bimodal,bimodal,100,100,0.3,0.3,0,0.0036039352416992188,0.0010149478912353516,0.015625,0.0,4.574056343302789e-06,7.507670324063498e-06
synthetic_bimodal,bimodal,100,100,0.3,0.3,1,0.0036020278930664062,0.00044989585876464844,0.0,0.0,5.671169239950394e-06,9.704657044444758e-06
synthetic_bimodal,bimodal,100,100,0.3,0.3,2,0.0035059452056884766,0.0012249946594238281,0.0,0.0,5.876714355704931e-06,9.33693678419423e-06
synthetic_bimodal,bimodal,100,100,0.3,0.3,3,0.0034723281860351562,0.0003628730773925781,0.0,0.0,5.290185795659231e-06,8.364766848038316e-06
synthetic_bimodal,bimodal,100,100,0.3,0.3,4,0.003425121307373047,0.0006442070007324219,0.0,0.0,4.55290837286318e-06,7.79120172555371e-06
synthetic_bimodal,bimodal,100,100,0.5,0.5,0,0.0039789676666259766,0.000476837158203125,0.3125,0.0,2.8596172566781596e-06,4.9976189828198574e-06
synthetic_bimodal,bimodal,100,100,0.5,0.5,1,0.0036139488220214844,0.0013568401336669922,0.0,0.015625,3.2304917913741685e-06,5.7446571825782e-06
synthetic_bimodal,bimodal,100,100,0.5,0.5,2,0.003607034683227539,0.0004279613494873047,0.015625,0.0,3.1396936694722746e-06,5.560186191189355e-06
synthetic_bimodal,bimodal,100,100,0.5,0.5,3,0.003569364547729492,0.0010080337524414062,0.0,0.0,3.1240145096221204e-06,5.531159795174559e-06
synthetic_bimodal,bimodal,100,100,0.5,0.5,4,0.003550291061401367,0.0006289482116699219,0.0,0.0,2.78580176248082e-06,4.9291526790275965e-06
synthetic_bimodal,bimodal,100,100,r0.1,2.252965502650137,0,0.005340099334716797,0.0005497932434082031,0.46875,0.0,2.9026675206148943e-06,5.052008015765455e-06
synthetic_bimodal,bimodal,100,100,r0.1,2.5414936082875155,1,0.004861116409301758,0.001363992691040039,0.21875,0.0,2.4862641037961544e-06,4.255101992147869e-06
synthetic_bimodal,bimodal,100,100,r0.1,2.5414936082875155,2,0.0047190189361572266,0.00046324729919433594,0.015625,0.0,2.5334786487771053e-06,4.3941797318434285e-06
synthetic_bimodal,bimodal,100,100,r0.1,2.5414936082875155,3,0.004686117172241211,0.0007350444793701172,0.015625,0.0,2.57976978538919e-06,4.48247117351863e-06
synthetic_bimodal,bimodal,100,100,r0.1,2.22540551354309,4,0.00470280647277832,0.00044727325439453125,0.0,0.0,3.386993992946191e-06,5.609287886323015e-06
synthetic_bimodal,bimodal,100,100,r0.3,6.758896507950411,0,0.10243415832519531,0.0014309883117675781,8.828125,0.046875,8.990623345593736e-06,2.031131226333535e-05
synthetic_bimodal,bimodal,100,100,r0.3,7.624480824862546,1,0.09919500350952148,0.0005528926849365234,1.71875,0.0,8.743137879905702e-06,1.9795024833421587e-05
synthetic_bimodal,bimodal,100,100,r0.3,7.624480824862546,2,0.09878802299499512,0.0005571842193603516,0.578125,0.0,1.0290414139307305e-05,2.2646906255628727e-05
synthetic_bimodal,bimodal,100,100,r0.3,7.624480824862546,3,0.09874320030212402,0.0005559921264648438,0.765625,0.0,9.925640230662252e-06,2.1988827012038536e-05
synthetic_bimodal,bimodal,100,100,r0.3,6.6762165406292695,4,0.21585702896118164,0.0005707740783691406,95.46875,0.0,7.508487131487095e-06,1.7505016535504068e-05
